pitch_angle,pitch_target,pitch_speed,pitch_speed_target,pitch_output,pitch_angle_kp,pitch_angle_ki,pitch_angle_kd,pitch_speed_kp,pitch_speed_ki,pitch_speed_kd,pitch_ff_output,yaw_ff_output
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.4,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.4
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.0,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
-2.3,0.1,1.5,0.0,0.1,0.0,1.5
